LSOA21CD,LSOA21NM,household_single_person_aged_66_over,household_couple_with_dependent_children,household_lone_parent_with_dependent_children
E01000744,Bromley 009B,68,83,100
E01000745,Bromley 005D,64,140,85
E01000746,Bromley 005E,76,148,86
E01000747,Bromley 042B,99,174,53
E01000748,Bromley 042C,114,94,28
E01000749,Bromley 036A,101,144,26
E01000750,Bromley 036B,145,79,80
E01000751,Bromley 036C,161,262,48
E01000752,Bromley 036D,179,150,38
E01000753,Bromley 031A,127,186,33
E01000754,Bromley 031B,121,186,44
E01000755,Bromley 031C,102,173,33
E01000756,Bromley 033D,106,163,30
E01000757,Bromley 031D,69,163,16
E01000758,Bromley 031E,75,173,17
E01000759,Bromley 034A,46,175,20
E01000760,Bromley 034B,88,148,34
E01000761,Bromley 034C,73,170,18
E01000762,Bromley 018D,114,174,44
E01000763,Bromley 027A,64,172,15
E01000764,Bromley 027B,82,195,37
E01000765,Bromley 034D,95,179,40
E01000766,Bromley 027C,84,227,17
E01000767,Bromley 027D,84,190,21
E01000768,Bromley 034E,110,154,29
E01000769,Bromley 024A,51,127,22
E01000770,Bromley 012D,157,127,16
E01000771,Bromley 041C,73,191,22
E01000772,Bromley 012E,181,119,20
E01000773,Bromley 024B,129,179,17
E01000774,Bromley 041D,65,171,40
E01000775,Bromley 024C,98,230,61
E01000777,Bromley 024D,53,170,43
E01000778,Bromley 024E,64,148,50
E01000779,Bromley 001A,71,94,44
E01000780,Bromley 001B,89,132,74
E01000781,Bromley 001C,66,123,97
E01000782,Bromley 001D,64,108,83
E01000783,Bromley 001E,72,130,91
E01000784,Bromley 002E,41,171,44
E01000785,Bromley 001F,55,129,86
E01000786,Bromley 032A,125,107,19
E01000787,Bromley 029C,113,102,41
E01000788,Bromley 029D,70,141,37
E01000789,Bromley 032B,50,149,142
E01000790,Bromley 028C,118,184,65
E01000791,Bromley 029E,117,125,17
E01000792,Bromley 032C,61,155,40
E01000793,Bromley 032D,102,158,14
E01000794,Bromley 035E,92,147,16
E01000795,Bromley 032E,71,146,26
E01000796,Bromley 009C,34,83,104
E01000797,Bromley 013E,67,180,27
E01000798,Bromley 009D,63,78,86
E01000799,Bromley 004A,53,156,69
E01000800,Bromley 009E,54,96,89
E01000801,Bromley 015E,80,118,49
E01000802,Bromley 004B,53,153,56
E01000803,Bromley 004C,125,134,37
E01000804,Bromley 004D,61,160,21
E01000805,Bromley 004E,108,129,84
E01000806,Bromley 009F,57,113,142
E01000807,Bromley 022C,60,192,42
E01000808,Bromley 025A,91,179,20
E01000809,Bromley 022D,124,157,24
E01000810,Bromley 025B,76,186,20
E01000811,Bromley 025C,80,167,29
E01000812,Bromley 028D,81,149,28
E01000813,Bromley 025D,100,174,17
E01000814,Bromley 028E,64,173,5
E01000815,Bromley 025E,57,166,4
E01000816,Bromley 040A,76,145,31
E01000818,Bromley 040B,65,147,16
E01000819,Bromley 040C,92,149,82
E01000820,Bromley 008C,96,147,63
E01000822,Bromley 008D,61,159,71
E01000823,Bromley 008E,65,171,47
E01000824,Bromley 008F,36,133,53
E01000825,Bromley 008G,114,132,79
E01000826,Bromley 021A,53,182,13
E01000827,Bromley 021B,139,165,50
E01000828,Bromley 011E,136,161,41
E01000829,Bromley 018E,71,196,35
E01000830,Bromley 021C,60,181,21
E01000831,Bromley 021D,163,174,24
E01000832,Bromley 030A,97,159,15
E01000833,Bromley 021E,53,162,11
E01000834,Bromley 027E,41,162,18
E01000835,Bromley 030B,100,156,61
E01000836,Bromley 030C,44,175,16
E01000837,Bromley 030D,124,152,41
E01000838,Bromley 030E,80,121,30
E01000839,Bromley 030F,72,118,14
E01000840,Bromley 030G,183,106,14
E01000841,Bromley 030H,99,169,26
E01000842,Camden 011A,97,115,24
E01000843,Camden 014A,109,87,19
E01000844,Camden 011B,72,156,35
E01000845,Camden 014B,73,114,31
E01000846,Camden 014C,94,106,62
E01000847,Camden 014D,77,136,50
E01000848,Camden 011C,78,133,21
E01000849,Camden 011D,90,93,22
E01000850,Camden 026A,41,34,9
E01000851,Camden 026B,35,31,18
E01000853,Camden 029H,164,60,43
E01000855,Camden 028A,91,34,14
E01000856,Camden 019A,41,65,51
E01000857,Camden 018A,93,96,30
E01000858,Camden 018B,49,86,71
E01000859,Camden 018C,80,117,22
E01000860,Camden 018D,229,52,25
E01000861,Camden 019B,48,39,35
E01000862,Camden 018E,99,142,37
E01000863,Camden 021A,36,53,29
E01000866,Camden 009A,98,104,88
E01000867,Camden 015C,70,68,50
E01000868,Camden 015D,46,98,90
E01000869,Camden 015E,87,99,47
E01000870,Camden 009B,57,95,49
E01000871,Camden 005A,70,131,35
E01000872,Camden 005B,63,89,48
E01000873,Camden 005C,54,135,38
E01000874,Camden 005D,62,151,15
E01000875,Camden 013A,63,81,46
E01000876,Camden 013B,70,112,61
E01000877,Camden 005E,60,121,20
E01000878,Camden 004A,79,145,63
E01000879,Camden 004B,69,139,13
E01000880,Camden 004C,47,164,23
E01000881,Camden 008A,50,121,24
E01000882,Camden 008B,63,143,28
E01000883,Camden 008C,59,129,17
E01000884,Camden 004D,47,161,30
E01000885,Camden 004E,67,124,24
E01000886,Camden 006A,63,97,25
E01000887,Camden 006B,63,85,34
E01000888,Camden 006C,68,121,42
E01000889,Camden 007A,79,92,105
E01000890,Camden 007B,99,90,57
E01000891,Camden 007C,57,80,59
E01000892,Camden 006D,104,118,55
E01000893,Camden 002A,98,110,21
E01000894,Camden 002B,65,122,23
E01000895,Camden 002C,142,125,29
E01000896,Camden 002D,86,139,25
E01000897,Camden 008D,89,190,27
E01000898,Camden 008E,96,91,33
E01000899,Camden 002E,95,142,25
E01000900,Camden 012A,73,92,58
E01000901,Camden 007D,34,146,113
E01000902,Camden 012B,65,79,60
E01000903,Camden 006E,106,97,31
E01000904,Camden 012C,101,97,64
E01000905,Camden 012D,109,85,105
E01000906,Camden 012E,71,86,29
E01000907,Camden 001A,74,102,80
E01000908,Camden 001B,105,83,61
E01000909,Camden 001C,87,128,29
E01000910,Camden 003A,73,123,13
E01000911,Camden 003B,86,108,48
E01000912,Camden 001D,104,70,67
E01000913,Camden 001E,104,133,17
E01000914,Camden 028B,82,44,28
E01000915,Camden 027A,57,90,57
E01000916,Camden 027B,71,70,46
E01000917,Camden 027C,81,82,68
E01000918,Camden 028C,82,41,36
E01000919,Camden 028D,75,36,39
E01000920,Camden 027D,107,71,22
E01000921,Camden 003C,59,106,50
E01000922,Camden 007E,57,108,46
E01000923,Camden 003D,58,97,38
E01000924,Camden 009C,52,83,42
E01000925,Camden 009D,80,95,70
E01000926,Camden 009E,40,68,69
E01000927,Camden 007F,75,103,31
E01000928,Camden 003E,64,103,58
E01000929,Camden 020A,71,130,81
E01000930,Camden 020B,235,113,87
E01000931,Camden 013C,90,126,105
E01000932,Camden 013D,80,89,32
E01000933,Camden 020C,90,93,51
E01000934,Camden 020D,119,86,58
E01000935,Camden 020E,56,100,102
E01000937,Camden 029G,45,31,12
E01000938,Camden 029A,23,53,44
E01000939,Camden 029B,43,68,38
E01000941,Camden 029D,48,60,42
E01000942,Camden 029C,60,24,18
E01000943,Camden 029F,44,14,16
E01000944,Camden 023A,59,65,39
E01000946,Camden 021B,65,82,45
E01000947,Camden 021C,38,46,39
E01000948,Camden 021D,93,81,43
E01000949,Camden 023C,65,101,64
E01000951,Camden 023E,54,101,60
E01000952,Camden 022A,59,83,63
E01000954,Camden 022C,47,119,109
E01000955,Camden 022D,70,83,51
E01000956,Camden 022E,29,68,62
E01000957,Camden 019C,60,66,46
E01000958,Camden 019D,41,110,102
E01000959,Camden 019E,62,72,60
E01000960,Camden 017A,76,136,53
E01000961,Camden 017B,64,128,64
E01000962,Camden 016A,64,121,17
E01000963,Camden 017C,89,196,56
E01000964,Camden 016B,79,135,44
E01000965,Camden 016C,61,131,47
E01000966,Camden 016D,52,162,21
E01000967,Camden 017D,75,156,33
E01000968,Camden 016E,76,96,25
E01000969,Camden 010A,69,129,20
E01000970,Camden 010B,61,79,23
E01000971,Camden 010C,53,130,22
E01000972,Camden 010D,116,101,71
E01000973,Camden 010E,49,122,79
E01000974,Camden 013E,67,71,52
E01000975,Croydon 022A,65,159,84
E01000976,Croydon 022B,83,153,96
E01000977,Croydon 022C,118,126,77
E01000978,Croydon 022D,103,118,61
E01000979,Croydon 022E,64,131,63
E01000980,Croydon 017A,39,98,71
E01000981,Croydon 017B,55,143,58
E01000982,Croydon 017C,52,144,74
E01000983,Croydon 017D,61,127,47
E01000984,Croydon 022F,101,112,83
E01000985,Croydon 021A,44,108,23
E01000986,Croydon 021B,95,137,33
E01000987,Croydon 021C,53,110,22
E01000989,Croydon 018A,62,146,35
E01000990,Croydon 045A,71,72,79
E01000991,Croydon 018B,96,124,28
E01000992,Croydon 014A,53,118,78
E01000993,Croydon 021D,56,149,45
E01000994,Croydon 009A,40,96,47
E01000995,Croydon 009B,54,107,67
E01000996,Croydon 009C,51,75,25
E01000997,Croydon 009D,42,81,60
E01000998,Croydon 010A,34,75,60
E01000999,Croydon 009E,46,76,33
E01001000,Croydon 010B,43,74,51
E01001001,Croydon 013A,44,80,92
E01001002,Croydon 009F,46,102,47
E01001003,Croydon 010C,44,116,79
E01001004,Croydon 015A,52,152,110
E01001005,Croydon 019A,45,120,64
E01001006,Croydon 016A,28,146,130
E01001007,Croydon 016B,43,150,46
E01001008,Croydon 019B,38,133,59
E01001009,Croydon 019C,31,183,83
E01001010,Croydon 019D,55,102,79
E01001011,Croydon 019E,45,161,155
E01001012,Croydon 020A,37,114,109
E01001013,Croydon 020B,95,120,142
E01001015,Croydon 041A,56,113,79
E01001016,Croydon 041B,92,162,32
E01001017,Croydon 043A,78,168,13
E01001018,Croydon 044A,75,172,22
E01001019,Croydon 044B,97,137,12
E01001020,Croydon 044C,107,176,29
E01001021,Croydon 044D,100,100,72
E01001022,Croydon 044E,127,135,14
E01001023,Croydon 041C,117,250,109
E01001024,Croydon 043B,64,125,24
E01001025,Croydon 043C,43,148,18
E01001026,Croydon 043D,63,192,70
E01001027,Croydon 043E,52,380,60
E01001028,Croydon 038A,42,135,13
E01001029,Croydon 038B,44,129,50
E01001030,Croydon 038C,45,139,22
E01001031,Croydon 038D,39,140,14
E01001032,Croydon 035A,57,158,23
E01001033,Croydon 031A,67,144,42
E01001034,Croydon 031B,35,153,52
E01001035,Croydon 047C,57,137,81
E01001036,Croydon 029A,68,138,24
E01001037,Croydon 029B,64,133,80
E01001038,Croydon 029C,59,140,89
E01001039,Croydon 029D,56,156,35
E01001040,Croydon 029E,46,149,67
E01001041,Croydon 031C,44,137,84
E01001042,Croydon 024B,41,146,123
E01001044,Croydon 023A,127,219,31
E01001046,Croydon 023B,94,230,34
E01001047,Croydon 047A,75,125,65
E01001049,Croydon 023C,50,107,16
E01001050,Croydon 023D,198,152,54
E01001051,Croydon 030A,110,105,93
E01001052,Croydon 030B,40,87,100
E01001053,Croydon 032A,61,119,72
E01001054,Croydon 030C,65,112,97
E01001055,Croydon 032B,100,101,70
E01001056,Croydon 030D,28,112,176
E01001057,Croydon 030E,40,138,179
E01001058,Croydon 034A,65,122,44
E01001059,Croydon 034B,94,115,71
E01001060,Croydon 034C,82,144,53
E01001061,Croydon 034D,70,107,57
E01001062,Croydon 026A,72,83,26
E01001063,Croydon 026B,62,131,34
E01001064,Croydon 026C,96,110,23
E01001065,Croydon 034E,108,73,34
E01001066,Croydon 034F,62,86,91
E01001067,Croydon 041D,51,165,16
E01001068,Croydon 042A,58,147,71
E01001069,Croydon 040A,48,143,18
E01001070,Croydon 040B,70,156,53
E01001071,Croydon 042B,58,187,54
E01001072,Croydon 042C,56,130,11
E01001073,Croydon 037A,74,127,40
E01001074,Croydon 041E,111,157,97
E01001075,Croydon 040C,60,164,57
E01001076,Croydon 036A,51,125,102
E01001077,Croydon 032C,56,110,45
E01001078,Croydon 032D,44,95,76
E01001079,Croydon 036B,69,100,86
E01001080,Croydon 036C,110,81,92
E01001081,Croydon 036D,35,110,77
E01001082,Croydon 032E,45,111,71
E01001083,Croydon 003A,69,99,27
E01001084,Croydon 002A,67,147,30
E01001085,Croydon 004A,75,118,43
E01001086,Croydon 003B,63,103,25
E01001087,Croydon 003C,128,155,158
E01001088,Croydon 004B,45,103,56
E01001089,Croydon 004C,53,117,74
E01001090,Croydon 004D,83,155,110
E01001091,Croydon 004E,58,88,44
E01001092,Croydon 037B,76,140,37
E01001093,Croydon 037C,66,135,61
E01001094,Croydon 038E,59,130,14
E01001095,Croydon 031D,42,138,71
E01001096,Croydon 037D,46,146,8
E01001097,Croydon 037E,193,157,118
E01001098,Croydon 037F,41,158,21
E01001099,Croydon 040D,32,151,61
E01001100,Croydon 031E,75,151,30
E01001101,Croydon 035B,51,157,9
E01001102,Croydon 035C,166,133,25
E01001103,Croydon 039A,106,147,17
E01001104,Croydon 042D,59,162,27
E01001105,Croydon 039B,86,153,53
E01001106,Croydon 039C,64,138,36
E01001107,Croydon 035D,69,147,23
E01001108,Croydon 035E,73,188,17
E01001109,Croydon 013B,111,147,158
E01001110,Croydon 020D,46,137,142
E01001111,Croydon 010D,41,129,61
E01001112,Croydon 013C,69,135,115
E01001113,Croydon 013D,34,137,97
E01001114,Croydon 013E,27,111,119
E01001115,Croydon 015B,80,106,100
E01001116,Croydon 013F,34,92,84
E01001118,Croydon 020E,92,120,141
E01001119,Croydon 034G,102,129,20
E01001120,Croydon 033A,64,114,29
E01001121,Croydon 039D,97,98,12
E01001122,Croydon 033B,40,95,9
E01001123,Croydon 033C,71,144,19
E01001124,Croydon 033D,105,128,11
E01001125,Croydon 033E,75,133,39
E01001126,Croydon 034H,91,115,39
E01001127,Croydon 025A,59,140,11
E01001128,Croydon 025B,41,109,131
E01001129,Croydon 026D,55,120,7
E01001130,Croydon 025C,27,117,172
E01001131,Croydon 018C,134,151,68
E01001132,Croydon 018D,102,117,32
E01001133,Croydon 026E,188,92,27
E01001134,Croydon 018E,110,131,28
E01001135,Croydon 025D,101,111,39
E01001136,Croydon 007A,83,124,96
E01001137,Croydon 001A,119,172,81
E01001138,Croydon 001B,74,120,74
E01001139,Croydon 007B,63,136,70
E01001140,Croydon 007C,49,124,83
E01001141,Croydon 008A,39,86,64
E01001142,Croydon 007D,60,157,71
E01001143,Croydon 008B,100,124,101
E01001144,Croydon 007E,57,100,81
E01001145,Croydon 008C,75,98,169
E01001146,Croydon 006A,68,118,52
E01001147,Croydon 005A,33,113,107
E01001148,Croydon 005B,67,122,79
E01001149,Croydon 006B,42,139,68
E01001150,Croydon 006C,39,152,51
E01001151,Croydon 005C,63,98,94
E01001152,Croydon 005D,56,128,132
E01001153,Croydon 006D,46,89,60
E01001154,Croydon 006E,47,135,101
E01001155,Croydon 010E,112,93,111
E01001156,Croydon 001C,67,141,61
E01001157,Croydon 002B,49,139,55
E01001158,Croydon 005E,51,113,79
E01001159,Croydon 002C,70,155,68
E01001160,Croydon 002D,55,108,33
E01001161,Croydon 003D,36,76,64
E01001162,Croydon 001D,58,127,108
E01001163,Croydon 002E,77,167,71
E01001164,Croydon 001E,102,129,75
E01001165,Croydon 024C,45,144,64
E01001166,Croydon 024D,139,135,105
E01001167,Croydon 028A,58,192,87
E01001168,Croydon 024E,63,142,60
E01001169,Croydon 028B,57,121,95
E01001170,Croydon 047D,146,159,95
E01001171,Croydon 028C,68,109,88
E01001172,Croydon 028D,59,142,126
E01001173,Croydon 028E,105,241,133
E01001174,Croydon 011A,44,93,39
E01001175,Croydon 011B,50,100,58
E01001176,Croydon 011C,34,122,65
E01001177,Croydon 016C,25,111,58
E01001178,Croydon 015D,33,104,106
E01001179,Croydon 016D,55,130,38
E01001180,Croydon 016E,42,142,91
E01001181,Croydon 015E,55,136,203
E01001182,Croydon 011D,34,64,41
E01001183,Croydon 011E,45,112,91
E01001184,Croydon 011F,48,53,21
E01001185,Croydon 014B,60,137,71
E01001186,Croydon 014C,100,81,110
E01001187,Croydon 017E,70,132,102
E01001188,Croydon 014D,41,133,115
E01001189,Croydon 045B,39,94,56
E01001190,Croydon 045C,41,117,68
E01001191,Croydon 008D,40,153,111
E01001192,Croydon 008E,49,107,85
E01001193,Croydon 014E,23,93,95
E01001194,Croydon 045D,38,140,65
E01001195,Ealing 021A,53,167,37
E01001196,Ealing 015A,97,90,87
E01001197,Ealing 021B,69,176,32
E01001198,Ealing 021C,48,123,34
E01001199,Ealing 021D,54,103,67
E01001200,Ealing 025A,40,146,30
E01001201,Ealing 025B,41,126,34
E01001202,Ealing 025C,69,197,72
E01001203,Ealing 025D,91,116,49
E01001204,Ealing 018A,53,138,33
E01001205,Ealing 018B,51,152,62
E01001206,Ealing 018C,31,116,133
E01001207,Ealing 018D,59,165,38
E01001208,Ealing 018E,61,128,21
E01001209,Ealing 013A,74,176,26
E01001210,Ealing 016A,125,123,110
E01001211,Ealing 013B,115,168,39
E01001212,Ealing 018F,106,141,26
E01001213,Ealing 023A,49,106,21
E01001214,Ealing 023B,44,89,16
E01001215,Ealing 023C,81,134,37
E01001216,Ealing 023D,40,135,26
E01001217,Ealing 014A,46,92,24
E01001218,Ealing 012A,101,132,79
E01001219,Ealing 029A,47,147,95
E01001220,Ealing 029B,33,103,56
E01001223,Ealing 041B,80,107,29
E01001224,Ealing 019B,51,150,20
E01001225,Ealing 041A,108,116,68
E01001226,Ealing 019C,80,121,28
E01001227,Ealing 019D,51,138,26
E01001228,Ealing 019E,82,121,37
E01001229,Ealing 031A,57,97,64
E01001230,Ealing 031B,55,86,21
E01001231,Ealing 027A,63,123,37
E01001232,Ealing 031C,78,117,32
E01001233,Ealing 031D,90,100,26
E01001234,Ealing 027B,48,77,29
E01001235,Ealing 042D,46,110,33
E01001236,Ealing 042C,79,97,28
E01001237,Ealing 031E,59,106,24
E01001239,Ealing 015C,32,85,54
E01001240,Ealing 024A,45,68,23
E01001241,Ealing 024B,49,86,42
E01001242,Ealing 024C,60,109,86
E01001243,Ealing 024D,83,169,71
E01001244,Ealing 024E,87,199,103
E01001245,Ealing 024F,52,190,80
E01001246,Ealing 015D,33,91,52
E01001247,Ealing 015E,73,125,70
E01001248,Ealing 035A,61,117,39
E01001249,Ealing 028A,89,161,125
E01001250,Ealing 028B,89,139,110
E01001251,Ealing 030A,62,177,64
E01001252,Ealing 030B,73,201,90
E01001253,Ealing 030C,47,215,75
E01001254,Ealing 030D,111,168,62
E01001255,Ealing 028C,54,181,32
E01001257,Ealing 008A,48,186,123
E01001258,Ealing 010B,79,154,56
E01001259,Ealing 014B,56,104,30
E01001260,Ealing 012B,71,153,32
E01001261,Ealing 012C,69,166,56
E01001262,Ealing 010C,67,108,51
E01001263,Ealing 010D,66,161,86
E01001264,Ealing 010E,50,130,71
E01001265,Ealing 006A,46,134,46
E01001266,Ealing 006B,52,106,33
E01001267,Ealing 006C,134,158,63
E01001268,Ealing 012D,67,171,27
E01001269,Ealing 001A,53,203,49
E01001270,Ealing 004A,42,146,31
E01001271,Ealing 001B,43,154,51
E01001272,Ealing 006D,42,120,23
E01001273,Ealing 041C,69,176,19
E01001274,Ealing 041E,73,198,18
E01001275,Ealing 041D,104,113,37
E01001276,Ealing 011A,70,100,38
E01001277,Ealing 011B,54,185,52
E01001278,Ealing 011C,78,173,79
E01001279,Ealing 013C,86,160,16
E01001280,Ealing 011D,112,181,44
E01001281,Ealing 013D,93,166,37
E01001282,Ealing 016B,101,132,44
E01001283,Ealing 016C,139,135,76
E01001284,Ealing 022A,53,144,63
E01001285,Ealing 016D,42,161,49
E01001286,Ealing 016E,69,156,76
E01001287,Ealing 016F,43,140,63
E01001288,Ealing 022B,36,142,41
E01001289,Ealing 022C,35,137,36
E01001290,Ealing 022D,54,185,63
E01001291,Ealing 014C,32,117,24
E01001292,Ealing 014D,42,90,21
E01001293,Ealing 014E,40,125,31
E01001294,Ealing 017A,31,118,30
E01001295,Ealing 017B,37,118,27
E01001296,Ealing 017C,24,86,18
E01001297,Ealing 017D,46,130,21
E01001298,Ealing 017E,61,104,24
E01001299,Ealing 035B,73,170,28
E01001300,Ealing 039A,59,194,21
E01001301,Ealing 039B,83,136,57
E01001302,Ealing 039C,61,164,32
E01001303,Ealing 032A,61,177,41
E01001304,Ealing 039D,75,169,61
E01001305,Ealing 035C,63,196,24
E01001306,Ealing 035D,98,191,34
E01001307,Ealing 002A,54,143,26
E01001308,Ealing 002B,72,106,17
E01001309,Ealing 001C,51,157,31
E01001310,Ealing 001D,64,157,55
E01001311,Ealing 001E,55,156,67
E01001312,Ealing 002C,41,145,22
E01001313,Ealing 002D,43,92,29
E01001314,Ealing 002E,47,110,31
E01001315,Ealing 003A,43,113,32
E01001316,Ealing 003B,42,124,95
E01001317,Ealing 003C,60,187,71
E01001318,Ealing 003D,95,133,85
E01001319,Ealing 004B,44,108,21
E01001320,Ealing 003E,39,117,91
E01001321,Ealing 003F,82,140,116
E01001322,Ealing 004C,60,144,72
E01001323,Ealing 004D,67,157,94
E01001324,Ealing 008B,45,132,77
E01001325,Ealing 009A,64,155,54
E01001326,Ealing 008C,64,134,107
E01001327,Ealing 009B,51,135,46
E01001328,Ealing 009C,58,133,69
E01001329,Ealing 009D,47,154,82
E01001330,Ealing 008D,48,144,94
E01001331,Ealing 009E,36,140,117
E01001332,Ealing 008E,43,130,92
E01001333,Ealing 038A,47,146,71
E01001334,Ealing 029C,69,106,51
E01001335,Ealing 038B,47,92,20
E01001336,Ealing 038C,39,90,33
E01001337,Ealing 029D,33,145,63
E01001338,Ealing 029E,40,97,24
E01001339,Ealing 029F,26,158,80
E01001340,Ealing 029G,21,122,56
E01001341,Ealing 005A,38,140,34
E01001342,Ealing 005B,41,140,29
E01001343,Ealing 005C,44,87,15
E01001344,Ealing 007A,82,186,55
E01001345,Ealing 005D,33,107,29
E01001346,Ealing 007B,61,174,35
E01001347,Ealing 007C,42,129,30
E01001348,Ealing 007D,58,118,61
E01001349,Ealing 006E,57,73,54
E01001350,Ealing 027C,80,114,23
E01001351,Ealing 025E,104,146,59
E01001352,Ealing 027D,48,116,26
E01001353,Ealing 033A,75,93,48
E01001354,Ealing 027E,58,152,37
E01001355,Ealing 033B,97,149,44
E01001356,Ealing 033C,66,107,81
E01001357,Ealing 033D,44,223,84
E01001358,Ealing 033E,34,173,67
E01001359,Ealing 026A,32,157,27
E01001360,Ealing 026B,32,88,19
E01001361,Ealing 023E,31,141,38
E01001362,Ealing 026C,28,166,53
E01001363,Ealing 026D,31,156,31
E01001364,Ealing 026E,77,100,36
E01001365,Ealing 026F,40,121,25
E01001366,Ealing 044C,36,149,42
E01001367,Ealing 043B,31,216,57
E01001368,Ealing 044D,27,95,28
E01001369,Ealing 038D,33,126,37
E01001370,Ealing 044A,25,114,25
E01001371,Ealing 044B,31,158,46
E01001372,Ealing 043C,29,210,40
E01001373,Ealing 043A,30,156,37
E01001374,Ealing 040A,73,169,30
E01001375,Ealing 034A,69,189,28
E01001376,Ealing 040B,77,138,37
E01001377,Ealing 034B,99,152,24
E01001379,Ealing 034C,81,192,28
E01001380,Ealing 040C,108,205,33
E01001381,Ealing 034D,66,141,49
E01001382,Ealing 032B,64,184,16
E01001383,Ealing 028D,43,146,28
E01001384,Ealing 032C,52,186,36
E01001385,Ealing 032D,76,189,28
E01001386,Ealing 031F,67,183,20
E01001387,Ealing 032E,59,97,25
E01001388,Ealing 028E,112,92,66
E01001389,Ealing 028F,93,142,56
E01001390,Enfield 036A,56,139,36
E01001391,Enfield 036B,43,114,62
E01001392,Enfield 032A,76,138,34
E01001393,Enfield 036C,55,150,56
E01001394,Enfield 035A,74,108,43
E01001395,Enfield 035B,51,101,76
E01001396,Enfield 036D,51,85,36
E01001397,Enfield 035C,48,157,93
E01001398,Enfield 021A,51,129,31
E01001399,Enfield 021B,60,92,16
E01001400,Enfield 021C,87,105,28
E01001401,Enfield 016A,59,133,39
E01001402,Enfield 021D,92,133,30
E01001403,Enfield 021E,129,105,41
E01001404,Enfield 026A,52,123,33
E01001405,Enfield 015A,183,118,37
E01001406,Enfield 015B,43,123,72
E01001407,Enfield 005A,63,155,53
E01001408,Enfield 004A,73,164,69
E01001409,Enfield 005B,84,136,127
E01001410,Enfield 005C,48,177,164
E01001411,Enfield 004B,87,215,67
E01001412,Enfield 004C,80,106,75
E01001413,Enfield 004D,91,166,20
E01001414,Enfield 004E,122,111,108
E01001415,Enfield 011A,156,177,65
E01001416,Enfield 013A,73,161,11
E01001417,Enfield 011B,64,169,15
E01001418,Enfield 011C,137,142,61
E01001419,Enfield 020A,97,159,62
E01001420,Enfield 020B,77,127,63
E01001421,Enfield 020C,109,146,45
E01001422,Enfield 011D,83,137,13
E01001423,Enfield 027A,87,134,68
E01001424,Enfield 030A,34,77,93
E01001425,Enfield 027B,56,138,127
E01001426,Enfield 030B,49,109,101
E01001427,Enfield 030C,64,89,106
E01001428,Enfield 027C,47,116,72
E01001429,Enfield 030D,146,160,164
E01001430,Enfield 030E,45,144,120
E01001431,Enfield 033A,36,121,109
E01001432,Enfield 033B,131,95,84
E01001433,Enfield 007A,38,139,110
E01001434,Enfield 007B,48,105,90
E01001435,Enfield 007C,40,93,71
E01001436,Enfield 007D,50,125,118
E01001437,Enfield 014A,83,147,198
E01001438,Enfield 007E,24,102,96
E01001439,Enfield 006A,52,132,186
E01001440,Enfield 012A,72,114,74
E01001441,Enfield 006B,40,114,122
E01001442,Enfield 002A,60,101,138
E01001444,Enfield 001A,57,112,129
E01001445,Enfield 003B,50,222,227
E01001446,Enfield 001B,62,119,106
E01001447,Enfield 003C,89,113,131
E01001448,Enfield 003D,53,128,118
E01001449,Enfield 003E,42,122,77
E01001450,Enfield 015C,156,153,162
E01001451,Enfield 017A,92,135,33
E01001452,Enfield 017B,40,125,18
E01001453,Enfield 017C,88,155,25
E01001454,Enfield 017D,118,165,37
E01001455,Enfield 021F,62,114,33
E01001456,Enfield 022A,46,146,14
E01001457,Enfield 010A,128,173,49
E01001458,Enfield 037A,63,116,95
E01001459,Enfield 024A,48,116,49
E01001460,Enfield 024B,36,121,100
E01001461,Enfield 027D,75,83,90
E01001462,Enfield 024C,36,80,78
E01001463,Enfield 031A,40,102,48
E01001464,Enfield 027E,43,70,36
E01001465,Enfield 031B,49,102,46
E01001466,Enfield 031C,44,130,96
E01001467,Enfield 031D,42,164,136
E01001468,Enfield 010B,98,146,32
E01001469,Enfield 008A,68,149,61
E01001470,Enfield 013B,100,146,36
E01001471,Enfield 010C,167,127,100
E01001472,Enfield 010D,108,128,66
E01001473,Enfield 013C,72,124,38
E01001474,Enfield 010E,125,155,54
E01001475,Enfield 013D,70,179,29
E01001476,Enfield 018A,61,133,91
E01001477,Enfield 018B,56,119,88
E01001478,Enfield 016B,60,102,66
E01001479,Enfield 023A,64,118,87
E01001480,Enfield 024D,53,108,66
E01001481,Enfield 018C,52,114,69
E01001482,Enfield 023B,64,144,98
E01001483,Enfield 025A,41,54,121
E01001484,Enfield 016C,57,108,65
E01001485,Enfield 025B,90,115,93
E01001486,Enfield 025C,86,119,143
E01001487,Enfield 023C,76,125,112
E01001488,Enfield 024E,65,121,105
E01001489,Enfield 023D,70,141,101
E01001491,Enfield 023E,56,125,105
E01001492,Enfield 025E,58,117,100
E01001493,Enfield 026B,85,113,61
E01001494,Enfield 026C,52,124,22
E01001495,Enfield 029A,50,143,46
E01001496,Enfield 026D,71,135,26
E01001497,Enfield 031E,69,112,40
E01001498,Enfield 029B,55,165,38
E01001499,Enfield 031F,56,92,27
E01001500,Enfield 035D,58,99,37
E01001501,Enfield 036E,94,175,84
E01001502,Enfield 018D,59,124,100
E01001503,Enfield 018E,71,123,101
E01001504,Enfield 012B,34,127,76
E01001505,Enfield 012C,29,109,89
E01001507,Enfield 012D,75,174,121
E01001508,Enfield 012E,45,184,129
E01001509,Enfield 014C,51,118,138
